AÑO,MES,BALANCE,TIPO,ENERGIA
2013,2013-01-01,OFERTA,Hidráulica,3390971.265
2013,2013-01-01,OFERTA,Importacion,13484.106
2013,2013-01-01,OFERTA,Nuclear,578964.885
2013,2013-01-01,OFERTA,Renovable,44725.939
2013,2013-01-01,OFERTA,Térmica,7442479.269
2013,2013-02-01,OFERTA,Hidráulica,2514931.728
2013,2013-02-01,OFERTA,Importacion,11952.114
2013,2013-02-01,OFERTA,Nuclear,521978.372
2013,2013-02-01,OFERTA,Renovable,41620.342
2013,2013-02-01,OFERTA,Térmica,7087345.639
2013,2013-03-01,OFERTA,Hidráulica,2927989.704
2013,2013-03-01,OFERTA,Importacion,12511.124
2013,2013-03-01,OFERTA,Nuclear,470968.342
2013,2013-03-01,OFERTA,Renovable,47790.795
2013,2013-03-01,OFERTA,Térmica,6635506.807
2013,2013-04-01,OFERTA,Hidráulica,2814101.383
2013,2013-04-01,OFERTA,Importacion,10571.258
2013,2013-04-01,OFERTA,Nuclear,384700.504
2013,2013-04-01,OFERTA,Renovable,38198.756
2013,2013-04-01,OFERTA,Térmica,6424981.282
2013,2013-05-01,OFERTA,Hidráulica,3021112.235
2013,2013-05-01,OFERTA,Importacion,12280.781
2013,2013-05-01,OFERTA,Nuclear,388120.171
2013,2013-05-01,OFERTA,Renovable,52217.026
2013,2013-05-01,OFERTA,Térmica,7129425.882
2013,2013-06-01,OFERTA,Hidráulica,2967983.977
2013,2013-06-01,OFERTA,Importacion,10568.103
2013,2013-06-01,OFERTA,Nuclear,590635.013
2013,2013-06-01,OFERTA,Renovable,60613.092
2013,2013-06-01,OFERTA,Térmica,7071583.665
2013,2013-07-01,OFERTA,Hidráulica,3709504.229
2013,2013-07-01,OFERTA,Importacion,12614.875
2013,2013-07-01,OFERTA,Nuclear,590410.221
2013,2013-07-01,OFERTA,Renovable,66587.839
2013,2013-07-01,OFERTA,Térmica,7192057.086
2013,2013-08-01,OFERTA,Hidráulica,3567153.579
2013,2013-08-01,OFERTA,Importacion,12144.54
2013,2013-08-01,OFERTA,Nuclear,584013.016
2013,2013-08-01,OFERTA,Renovable,77411.971
2013,2013-08-01,OFERTA,Térmica,7034911.152
2013,2013-09-01,OFERTA,Hidráulica,4256591.432
