AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE_DESCRIPCION,TIPO_MAQUINA,FUENTE_GENERACION,TECNOLOGIA,COMBUSTIBLE,CONSUMO
2013,2013-01-01,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON           ,TURBO GAS,Térmica,CC,GAS NATURAL,11934.04
2013,2013-01-01,ACAJTG04,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON           ,TURBO GAS,Térmica,CC,GAS NATURAL,12138.14
2013,2013-01-01,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,33775.15
2013,2013-01-01,AESPTG01,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,45079.340000000004
2013,2013-01-01,AESPTG02,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,49866.26
2013,2013-01-01,ALEMDI01,ALEM,CTALEMNG,CT ALEM - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,2173.14
2013,2013-01-01,ALOMDI01,ALOM,YPFLOMQA,CENTRAL TÉRMICA LOMITA AUTOG.,MOTOR DIESEL,Térmica,DI,GAS NATURAL,2419.78
2013,2013-01-01,ALUMDI01,ALUM,CTALUMIG,CT ALUMINÉ - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,199.5
2013,2013-01-01,ANATDI01,ANAT,CTANATUG,CT AÑATUYA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,1247.32
2013,2013-01-01,ANATDI02,ANAT,CTANAT2G,CT AÑATUYA II - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,358.29
2013,2013-01-01,APARTV01,APAR,SIDESN1A,SIDERAR PTA. IND. SAN NICOLAS ,TURBO VAPOR,Térmica,TV,GAS NATURAL,95.75
2013,2013-01-01,ARGETG01,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),TURBO GAS,Térmica,TG,GAS NATURAL,24113.05
2013,2013-01-01,ARISDI01,ARIS,CTARISTG,CT ARISTOBULO DEL VALLE-ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,1771.1000000000001
2013,2013-01-01,ARMATG01,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,565.13
2013,2013-01-01,ARMATG02,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,550.25
2013,2013-01-01,ARMATG03,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,3414.07
2013,2013-01-01,ARREDI01,ARRE,CTARRECG,CT ARRECIFES-ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,762.0500000000001
2013,2013-01-01,AVALTG21,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,TURBO GAS,Térmica,TG,GAS NATURAL,456.03000000000003
2013,2013-01-01,AVALTG22,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,TURBO GAS,Térmica,CC,GAS NATURAL,5545.76
2013,2013-01-01,AVALTG23,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,TURBO GAS,Térmica,CC,GAS NATURAL,6257.56
2013,2013-01-01,BARIDI01,BARI,CTBARILG,CT BARILOCHE - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,11.34
2013,2013-01-01,BBLATV29,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,TURBO VAPOR,Térmica,TV,FUEL OIL,6510.56
2013,2013-01-01,BBLATV29,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,TURBO VAPOR,Térmica,TV,GAS NATURAL,25292.4
2013,2013-01-01,BBLATV30,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,TURBO VAPOR,Térmica,TV,FUEL OIL,6461.79
2013,2013-01-01,BBLATV30,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,TURBO VAPOR,Térmica,TV,GAS NATURAL,23584.84
2013,2013-01-01,BLOPTG01,BLOP,CTBRILOG,CT BRIGADIER LOPEZ - ENARSA,TURBO GAS,Térmica,TG,GAS NATURAL,24987.33
2013,2013-01-01,BRAGTG01,BRAG,CTBRAGAG,CT BRAGADO - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,2310.13
2013,2013-01-01,BSASTG01,BSAS,CCOSTANG,ENDESA COSTANERA SA,TURBO GAS,Térmica,CC,GAS NATURAL,18421.23
2013,2013-01-01,BVILDI01,BVIL,CTBELLVG,CT BELL VILLE - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,683.3000000000001
2013,2013-01-01,CASTDI01,CAST,CTCASTEG,CT CASTELLI - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,1667.26
2013,2013-01-01,CATADI01,CATA,EDECATKG,EDECAT GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,543.53
2013,2013-01-01,CATDDI01,CATD,CTCATAMG,CT CATAMARCA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,1748.27
2013,2013-01-01,CAVIDI01,CAVI,CTCAVIAG,CT CAVIAHUE - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,2.43
2013,2013-01-01,CEPUTG11,NPUE,CPUERTOG,CENTRAL PUERTO SA             ,TURBO GAS,Térmica,CC,GAS NATURAL,40611.66
2013,2013-01-01,CEPUTG12,NPUE,CPUERTOG,CENTRAL PUERTO SA             ,TURBO GAS,Térmica,CC,GAS NATURAL,46486.700000000004
2013,2013-01-01,CEREDI01,CERE,CTCERESG,CT CERES - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,871.49
2013,2013-01-01,CHARDI01,CHAR,CTCHARAG,CT CHARATA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,31.64
2013,2013-01-01,CHARDI02,CHAR,CTCHARAG,CT CHARATA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,243.24
2013,2013-01-01,CHLEDI01,CHLE,CTCHILEG,CT CHILECITO - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,370.74
2013,2013-01-01,CIPODI01,CIPO,CTCIPOLG,CT CIPOLLETI - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,81.64
2013,2013-01-01,COLBDI01,COLB,CTCOLBSG,CT COLON BS.AS - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,800.8000000000001
2013,2013-01-01,CORRDI01,CORR,CTCORRIG,CT CORRIENTES - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,695.86
2013,2013-01-01,COSTTG08,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO GAS,Térmica,CC,GAS NATURAL,46342.16
2013,2013-01-01,COSTTG09,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO GAS,Térmica,CC,GAS NATURAL,47374.700000000004
2013,2013-01-01,COSTTV01,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO VAPOR,Térmica,TV,GAS NATURAL,13091.76
2013,2013-01-01,COSTTV03,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO VAPOR,Térmica,TV,GAS NATURAL,10107.5
2013,2013-01-01,COSTTV04,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO VAPOR,Térmica,TV,GAS NATURAL,1648.63
2013,2013-01-01,COSTTV06,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO VAPOR,Térmica,TV,GAS NATURAL,31181.72
2013,2013-01-01,COSTTV07,COST,CCOSTANG,ENDESA COSTANERA SA,TURBO VAPOR,Térmica,TV,GAS NATURAL,3504.25
2013,2013-01-01,CRIVTG21,CRIV,CTPATAGG,C.T. PATAGONICAS SA           ,TURBO GAS,Térmica,TG,GAS NATURAL,1501.19
2013,2013-01-01,CRIVTG23,CRIV,CTPATAGG,C.T. PATAGONICAS SA           ,TURBO GAS,Térmica,TG,GAS NATURAL,6.68
2013,2013-01-01,CRIVTG28,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,TURBO GAS,Térmica,CC,GAS NATURAL,102.39
2013,2013-01-01,CSARDI01,CSAR,CTCSARMG,CT CAPITAN SARMIENTO - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,547.54
2013,2013-01-01,CURUTG01,CURU,CTCURUGG,CT CONC.DEL URUGUAY - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,1450.82
2013,2013-01-01,CURUTG02,CURU,CTCURU2G,CT CONC.DEL URUGUAY II-EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,1662.64
2013,2013-01-01,DFUNTG01,DFUN,EPECORDG,EPEC GENERACION               ,TURBO GAS,Térmica,TG,GAS NATURAL,535.3
2013,2013-01-01,DFUNTG02,DFUN,EPECORDG,EPEC GENERACION               ,TURBO GAS,Térmica,TG,GAS NATURAL,535.58
2013,2013-01-01,DIQUTG01,DIQU,CTDIQUEG,CENTRAL DIQUE S.A.            ,TURBO GAS,Térmica,TG,GAS NATURAL,7.92
2013,2013-01-01,DIQUTG03,DIQU,CTDIQUEG,CENTRAL DIQUE S.A.            ,TURBO GAS,Térmica,TG,GAS NATURAL,497.7
2013,2013-01-01,DIQUTG04,DIQU,CTDIQUEG,CENTRAL DIQUE S.A.            ,TURBO GAS,Térmica,TG,GAS NATURAL,513.3100000000001
2013,2013-01-01,DSUDTG08,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,TURBO GAS,Térmica,TG,GAS NATURAL,1356.73
2013,2013-01-01,DSUDTG09,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,TURBO GAS,Térmica,CC,GAS NATURAL,49863.67
2013,2013-01-01,DSUDTG10,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,TURBO GAS,Térmica,CC,GAS NATURAL,49602.18
2013,2013-01-01,EBARTG01,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,TURBO GAS,Térmica,TG,GAS NATURAL,29085.350000000002
2013,2013-01-01,EBARTG01,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,TURBO GAS,Térmica,TG,GAS OIL,5.49
2013,2013-01-01,EBARTG02,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,TURBO GAS,Térmica,TG,GAS NATURAL,26687.010000000002
2013,2013-01-01,EBARTG02,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,TURBO GAS,Térmica,TG,GAS OIL,4.79
2013,2013-01-01,ELOMDI01,ELOM,PETRELRA,YAC.ENTRE LOMAS AUTOGENERADOR,MOTOR DIESEL,Térmica,DI,GAS NATURAL,391.65000000000003
2013,2013-01-01,ENSETG01,ENSE,LAPLATAC,LA PLATA COGENERACION SA,TURBO GAS,Térmica,TG,GAS NATURAL,14642.16
2013,2013-01-01,ESQDDI01,ESQD,CTESQUIG,CT ESQUINA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,882.6
2013,2013-01-01,FILOTG02,FILO,FILOMORG,C.T. FILO MORADO              ,TURBO GAS,Térmica,TG,GAS NATURAL,0.09
2013,2013-01-01,FORDDI01,FORD,CTFORMOG,CT FORMOSA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,198.23000000000002
2013,2013-01-01,FORDDI02,FORD,CTFORMOG,CT FORMOSA - ENARSA,MOTOR DIESEL,Térmica,DI,GAS OIL,196.3
2013,2013-01-01,GBELTG01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,TURBO GAS,Térmica,CC,GAS NATURAL,45841.35999999999
2013,2013-01-01,GBELTG01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,TURBO GAS,Térmica,CC,GAS OIL,0.62
2013,2013-01-01,GBELTG02,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,TURBO GAS,Térmica,CC,GAS NATURAL,47628.63
2013,2013-01-01,GBELTG02,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,TURBO GAS,Térmica,CC,GAS OIL,0.62
2013,2013-01-01,GEBATG01,GEBA,GENELBAG,GENELBA - PETROBRAS,TURBO GAS,Térmica,CC,GAS NATURAL,42278.4
