Horario,Temp[ºC],Hum[%],Pres[hPa],VDir[gr],VVel[km/h]
2018-02-01 00:00:00,22.2,75.0,1013.9,180.0,9.0
2018-02-01 01:00:00,22.1,76.0,1013.9,180.0,6.0
2018-02-01 02:00:00,20.6,82.0,1013.3,180.0,13.0
2018-02-01 03:00:00,20.5,81.0,1012.9,160.0,9.0
2018-02-01 04:00:00,19.4,85.0,1012.7,180.0,6.0
2018-02-01 05:00:00,18.9,87.0,1012.6,180.0,11.0
2018-02-01 06:00:00,19.6,86.0,1012.8,180.0,9.0
2018-02-01 07:00:00,20.6,83.0,1013.3,180.0,9.0
2018-02-01 08:00:00,22.4,79.0,1013.6,160.0,9.0
2018-02-01 09:00:00,24.6,71.0,1013.9,160.0,9.0
2018-02-01 10:00:00,28.7,55.0,1013.5,140.0,11.0
2018-02-01 11:00:00,31.1,40.0,1013.2,110.0,11.0
2018-02-01 12:00:00,32.1,35.0,1012.7,90.0,13.0
2018-02-01 13:00:00,32.8,32.0,1012.3,90.0,15.0
2018-02-01 14:00:00,33.8,31.0,1011.8,110.0,15.0
2018-02-01 15:00:00,34.2,25.0,1011.2,50.0,15.0
2018-02-01 16:00:00,33.8,34.0,1010.7,50.0,11.0
2018-02-01 17:00:00,33.9,34.0,1010.5,50.0,13.0
2018-02-01 18:00:00,33.6,30.0,1010.0,140.0,7.0
2018-02-01 19:00:00,34.2,29.0,1009.8,90.0,7.0
2018-02-01 20:00:00,34.2,32.0,1009.9,90.0,4.0
2018-02-01 21:00:00,28.0,49.0,1010.4,160.0,6.0
2018-02-01 22:00:00,26.8,50.0,1011.1,180.0,9.0
2018-02-01 23:00:00,24.6,59.0,1011.6,160.0,9.0
2018-02-02 00:00:00,24.5,59.0,1011.8,180.0,6.0
2018-02-02 01:00:00,23.2,67.0,1012.0,200.0,4.0
2018-02-02 02:00:00,21.9,67.0,1012.0,180.0,7.0
2018-02-02 03:00:00,21.4,68.0,1011.6,160.0,6.0
2018-02-02 04:00:00,20.4,74.0,1011.5,180.0,9.0
2018-02-02 05:00:00,20.0,77.0,1011.3,160.0,7.0
2018-02-02 06:00:00,20.4,75.0,1011.9,180.0,9.0
2018-02-02 07:00:00,19.6,80.0,1012.2,180.0,11.0
2018-02-02 08:00:00,23.3,72.0,1012.6,180.0,6.0
2018-02-02 09:00:00,26.8,67.0,1013.0,140.0,7.0
2018-02-02 10:00:00,31.4,41.0,1013.1,70.0,6.0
2018-02-02 11:00:00,33.3,31.0,1013.2,70.0,13.0
