momento,eolica,fotovoltaica,biocombustible,hidraulica,cubrimientoDem
01/03/2020 00:05,1481.18,0.0,42.07,181.13,9.89
01/03/2020 00:10,1484.73,0.0,40.88,180.11,9.95
01/03/2020 00:15,1477.45,0.0,42.07,180.18,9.98
01/03/2020 00:20,1449.28,0.0,42.07,181.41,9.9
01/03/2020 00:25,1390.52,0.0,42.07,180.19,9.6
01/03/2020 00:30,1340.68,0.0,42.07,181.38,9.3
01/03/2020 00:35,1312.19,0.0,42.07,181.38,9.19
01/03/2020 00:40,1277.52,0.0,42.07,181.38,9.04
01/03/2020 00:45,1244.03,0.0,42.07,182.45,8.87
01/03/2020 00:50,1239.12,0.0,42.07,182.45,8.87
01/03/2020 00:55,1222.79,0.0,42.07,181.24,8.8
01/03/2020 01:00,1212.56,0.0,42.07,181.24,8.81
01/03/2020 01:05,1223.35,0.0,42.07,181.24,8.91
01/03/2020 01:10,1213.58,0.0,42.08,181.24,8.87
01/03/2020 01:15,1217.57,0.0,42.08,182.34,8.93
01/03/2020 01:20,1216.36,0.0,41.03,181.31,8.97
01/03/2020 01:25,1192.69,0.0,42.14,181.31,8.87
01/03/2020 01:30,1173.68,0.0,42.06,181.31,8.77
01/03/2020 01:35,1153.08,0.0,41.05,181.31,8.69
01/03/2020 01:40,1137.11,0.0,41.22,181.31,8.62
01/03/2020 01:45,1133.54,0.0,41.22,181.31,8.61
01/03/2020 01:50,1141.26,0.0,42.03,181.31,8.69
01/03/2020 01:55,1157.0,0.0,40.73,181.31,8.81
01/03/2020 02:00,1168.97,0.0,41.88,181.31,8.95
01/03/2020 02:05,1177.66,0.0,41.88,180.21,9.02
01/03/2020 02:10,1162.4,0.0,41.91,181.24,8.96
01/03/2020 02:15,1151.18,0.0,40.87,181.24,8.95
01/03/2020 02:20,1167.0,0.0,41.95,181.24,9.09
01/03/2020 02:25,1156.63,0.0,41.95,182.5,9.08
01/03/2020 02:30,1151.11,0.0,39.72,182.5,9.06
01/03/2020 02:35,1150.94,0.0,38.71,182.5,9.08
01/03/2020 02:40,1147.34,0.0,38.71,182.5,9.09
01/03/2020 02:45,1134.68,0.0,39.06,182.5,9.02
01/03/2020 02:50,1110.34,0.0,43.38,182.5,8.97
01/03/2020 02:55,1099.23,0.0,41.19,182.5,8.9
01/03/2020 03:00,1097.04,0.0,42.64,182.5,8.93
01/03/2020 03:05,1095.94,0.0,42.06,182.5,8.93
01/03/2020 03:10,1088.12,0.0,42.34,182.5,8.92
01/03/2020 03:15,1070.35,0.0,42.28,182.5,8.82
01/03/2020 03:20,1051.71,0.0,41.19,182.5,8.71
01/03/2020 03:25,1032.41,0.0,42.42,182.5,8.63
01/03/2020 03:30,1018.88,0.0,41.15,182.5,8.56
01/03/2020 03:35,1013.03,0.0,42.37,181.31,8.53
01/03/2020 03:40,1005.51,0.0,41.32,182.35,8.5
01/03/2020 03:45,987.51,0.0,41.32,182.35,8.4
01/03/2020 03:50,965.7,0.0,41.32,182.35,8.25
01/03/2020 03:55,962.35,0.0,41.27,181.32,8.25
01/03/2020 04:00,950.94,0.0,41.27,181.32,8.2
01/03/2020 04:05,939.79,0.0,41.27,181.32,8.13
