momento,eolica,fotovoltaica,biocombustible,hidraulica,cubrimientoDem
01/06/2020 00:05,355.59,0.0,79.33,165.31,3.8
01/06/2020 00:10,376.65,0.0,78.3,165.31,3.93
01/06/2020 00:15,382.86,0.0,78.3,165.31,4.0
01/06/2020 00:20,377.63,0.0,78.3,163.03,3.98
01/06/2020 00:25,372.09,0.0,78.3,163.03,3.98
01/06/2020 00:30,371.85,0.0,79.33,163.03,4.02
01/06/2020 00:35,372.99,0.0,78.12,163.03,4.06
01/06/2020 00:40,358.3,0.0,79.26,161.84,4.01
01/06/2020 00:45,342.16,0.0,79.26,165.05,3.9699999999999998
01/06/2020 00:50,341.16,0.0,79.26,163.93,3.9699999999999998
01/06/2020 00:55,351.45,0.0,78.24,165.18,4.08
01/06/2020 01:00,342.67,0.0,78.24,163.93,4.03
01/06/2020 01:05,345.78,0.0,78.24,163.93,4.06
01/06/2020 01:10,342.97,0.0,78.24,164.96,4.07
01/06/2020 01:15,327.53,0.0,78.24,163.74,3.98
01/06/2020 01:20,334.77,0.0,78.24,166.02,4.09
01/06/2020 01:25,362.23,0.0,78.24,166.02,4.31
01/06/2020 01:30,376.67,0.0,78.24,166.02,4.48
01/06/2020 01:35,375.56,0.0,78.24,166.02,4.47
01/06/2020 01:40,367.56,0.0,78.24,166.02,4.43
01/06/2020 01:45,365.04,0.0,78.24,164.94,4.43
01/06/2020 01:50,366.64,0.0,78.24,164.94,4.48
01/06/2020 01:55,384.91,0.0,78.24,164.93,4.63
01/06/2020 02:00,416.04,0.0,78.24,164.93,4.9
01/06/2020 02:05,426.37,0.0,78.24,166.6,5.04
01/06/2020 02:10,418.42,0.0,78.24,166.6,4.96
01/06/2020 02:15,426.19,0.0,78.24,165.37,5.02
01/06/2020 02:20,425.52,0.0,78.24,165.37,5.06
01/06/2020 02:25,425.21,0.0,78.24,165.57,5.06
01/06/2020 02:30,421.64,0.0,78.24,165.57,5.07
01/06/2020 02:35,419.14,0.0,78.24,165.57,5.06
01/06/2020 02:40,424.55,0.0,78.24,165.57,5.13
01/06/2020 02:45,436.48,0.0,78.24,165.57,5.18
01/06/2020 02:50,427.65,0.0,78.24,165.57,5.14
01/06/2020 02:55,411.76,0.0,78.24,165.57,5.05
01/06/2020 03:00,420.08,0.0,78.24,165.57,5.12
01/06/2020 03:05,426.95,0.0,78.24,165.57,5.21
01/06/2020 03:10,433.52,0.0,78.24,166.58,5.17
01/06/2020 03:15,446.45,0.0,78.24,165.57,5.29
01/06/2020 03:20,445.36,0.0,78.24,165.57,5.27
01/06/2020 03:25,450.58,0.0,78.24,165.57,5.35
01/06/2020 03:30,471.89,0.0,78.24,165.57,5.5
01/06/2020 03:35,473.93,0.0,78.24,165.57,5.53
01/06/2020 03:40,467.96,0.0,78.24,165.51,5.4
01/06/2020 03:45,466.37,0.0,78.24,165.73,5.41
01/06/2020 03:50,462.5,0.0,78.24,165.73,5.39
01/06/2020 03:55,437.89,0.0,78.24,165.73,5.21
01/06/2020 04:00,424.44,0.0,78.24,165.73,5.14
01/06/2020 04:05,421.16,0.0,78.24,165.73,5.12
01/06/2020 04:10,416.44,0.0,77.21,164.62,4.96
01/06/2020 04:15,409.33,0.0,77.21,165.9,4.92
01/06/2020 04:20,416.11,0.0,77.21,165.9,4.99
01/06/2020 04:25,434.49,0.0,77.21,165.9,5.14
01/06/2020 04:30,455.98,0.0,77.21,165.9,5.27
01/06/2020 04:35,476.55,0.0,78.31,165.9,5.43
01/06/2020 04:40,481.09,0.0,78.31,165.9,5.47
01/06/2020 04:45,490.12,0.0,78.31,165.9,5.54
01/06/2020 04:50,490.13,0.0,78.31,165.9,5.53
01/06/2020 04:55,493.37,0.0,78.31,165.9,5.54
01/06/2020 05:00,511.46,0.0,78.31,165.9,5.68
01/06/2020 05:05,513.07,0.0,78.31,165.9,5.71
01/06/2020 05:10,516.46,0.0,78.31,165.9,5.74
01/06/2020 05:15,514.91,0.0,78.31,165.9,5.68
01/06/2020 05:20,507.46,0.0,78.31,165.9,5.63
01/06/2020 05:25,510.23,0.0,77.27,165.9,5.61
01/06/2020 05:30,505.95,0.0,77.27,165.9,5.5600000000000005
01/06/2020 05:35,507.45,0.0,77.27,165.9,5.57
01/06/2020 05:40,496.66,0.0,77.27,165.9,5.49
01/06/2020 05:45,485.67,0.0,77.27,165.9,5.39
01/06/2020 05:50,472.55,0.0,77.27,166.08,5.35
01/06/2020 05:55,459.04,0.0,77.27,166.08,5.22
01/06/2020 06:00,470.76,0.0,77.27,166.08,5.3
01/06/2020 06:05,451.73,0.0,78.35,166.08,5.21
01/06/2020 06:10,452.07,0.0,78.35,164.63,5.23
01/06/2020 06:15,458.83,0.0,77.27,165.83,5.21
01/06/2020 06:20,456.36,0.0,77.27,164.49,5.18
01/06/2020 06:25,477.34,0.0,77.27,165.6,5.33
01/06/2020 06:30,495.8,0.0,77.27,165.6,5.41
01/06/2020 06:35,494.92,0.0,77.27,165.6,5.38
01/06/2020 06:40,509.42,0.0,77.27,165.6,5.45
01/06/2020 06:45,500.73,0.0,77.27,164.54,5.42
01/06/2020 06:50,503.23,0.0,77.27,164.76,5.36
01/06/2020 06:55,506.79,0.0,78.28,166.12,5.4
01/06/2020 07:00,500.75,0.0,78.28,164.88,5.31
01/06/2020 07:05,489.58,0.0,78.28,165.96,5.19
01/06/2020 07:10,483.35,0.0,78.28,165.96,5.08
01/06/2020 07:15,484.57,0.0,78.28,164.9,5.05
01/06/2020 07:20,491.66,0.0,77.21,164.9,5.04
01/06/2020 07:25,488.61,0.0,77.21,164.9,4.99
01/06/2020 07:30,479.25,0.0,77.21,164.9,4.9
01/06/2020 07:35,471.6,0.0,77.21,164.9,4.82
01/06/2020 07:40,481.61,0.0,78.23,164.9,4.88
01/06/2020 07:45,487.64,0.0,78.23,164.9,4.92
01/06/2020 07:50,471.91,0.0,77.16,164.9,4.8
01/06/2020 07:55,480.13,0.0,77.16,164.9,4.83
01/06/2020 08:00,468.45,0.0,78.23,164.9,4.77
01/06/2020 08:05,470.15,0.0,78.23,164.9,4.71
01/06/2020 08:10,484.24,0.0,75.97,165.97,4.79
01/06/2020 08:15,505.07,0.0,78.12,164.78,4.88
01/06/2020 08:20,516.39,0.25,78.12,164.78,4.93
01/06/2020 08:25,536.72,1.33,78.12,164.78,5.03
01/06/2020 08:30,544.19,3.15,78.12,165.8,5.11
01/06/2020 08:35,536.72,5.16,78.12,165.8,5.01
01/06/2020 08:40,533.58,8.98,78.12,164.55,4.98
01/06/2020 08:45,530.18,14.31,78.12,162.35,4.93
01/06/2020 08:50,517.17,22.2,78.12,162.16,4.92
01/06/2020 08:55,510.37,31.7,78.12,165.66,4.92
01/06/2020 09:00,508.77,36.29,78.12,164.61,4.87
01/06/2020 09:05,518.22,44.05,78.12,165.65,4.94
01/06/2020 09:10,526.64,54.86,78.12,165.36,5.03
01/06/2020 09:15,514.49,63.82,78.12,165.36,4.99
01/06/2020 09:20,501.28,104.36,78.12,165.36,5.11
01/06/2020 09:25,510.86,132.81,76.93,165.36,5.29
01/06/2020 09:30,550.95,144.21,76.93,172.5,5.62
01/06/2020 09:35,563.41,168.71,76.93,172.5,5.82
01/06/2020 09:40,545.89,176.29,77.96,172.5,5.73
01/06/2020 09:45,531.8,185.47,76.85,172.5,5.7
01/06/2020 09:50,527.63,191.02,77.91,172.5,5.7
01/06/2020 09:55,555.24,196.84,77.91,172.5,5.87
01/06/2020 10:00,567.19,211.69,78.86,172.5,6.03
01/06/2020 10:05,565.51,220.39,79.94,173.64,6.01
01/06/2020 10:10,598.22,222.52,78.85,172.58,6.2
01/06/2020 10:15,601.87,228.69,79.87,172.58,6.28
01/06/2020 10:20,610.56,241.25,78.76,172.58,6.4
01/06/2020 10:25,629.19,240.06,78.76,172.58,6.46
01/06/2020 10:30,638.25,258.09,74.96,172.58,6.58
01/06/2020 10:35,657.81,230.42,74.96,172.58,6.49
01/06/2020 10:40,664.48,268.18,74.96,172.58,6.76
01/06/2020 10:45,649.84,258.32,76.0,172.58,6.57
01/06/2020 10:50,634.72,280.72,77.17,172.58,6.62
01/06/2020 10:55,617.79,265.59,77.17,172.58,6.43
01/06/2020 11:00,597.77,256.36,77.17,172.58,6.28
01/06/2020 11:05,574.7,253.77,78.18,172.58,6.13
01/06/2020 11:10,585.21,257.52,78.18,168.8,6.19
01/06/2020 11:15,571.98,279.15,78.18,168.8,6.27
01/06/2020 11:20,546.21,276.98,79.22,168.8,6.11
01/06/2020 11:25,551.62,293.99,79.22,170.63,6.21
01/06/2020 11:30,544.98,287.1,79.02,169.5,6.14
01/06/2020 11:35,529.5,292.33,77.97,170.85,6.06
01/06/2020 11:40,536.36,276.0,78.97,169.74,6.03
01/06/2020 11:45,526.61,292.16,83.53,172.25,6.08
01/06/2020 11:50,522.23,293.12,85.09,170.62,6.12
01/06/2020 11:55,521.24,265.49,83.94,170.62,5.96
01/06/2020 12:00,528.34,285.88,85.0,170.62,6.1
01/06/2020 12:05,535.67,285.71,86.39,169.62,6.17
01/06/2020 12:10,531.45,277.88,87.54,169.62,6.09
01/06/2020 12:15,517.82,283.64,87.54,169.62,6.09
01/06/2020 12:20,512.97,286.84,86.47,169.62,6.07
01/06/2020 12:25,516.72,288.25,88.69,169.62,6.08
01/06/2020 12:30,526.25,289.31,88.69,169.62,6.15
01/06/2020 12:35,527.24,289.31,91.03,169.62,6.17
01/06/2020 12:40,522.1,287.24,97.35,169.62,6.17
01/06/2020 12:45,529.65,286.22,97.35,169.62,6.19
01/06/2020 12:50,542.82,286.22,96.81,169.62,6.27
01/06/2020 12:55,547.5,284.76,97.54,169.62,6.28
01/06/2020 13:00,542.37,283.72,96.72,169.62,6.25
01/06/2020 13:05,539.09,283.72,98.28,169.62,6.25
01/06/2020 13:10,540.87,283.72,97.13,169.62,6.3
01/06/2020 13:15,542.84,284.49,98.57,169.62,6.3
01/06/2020 13:20,546.36,283.14,99.33,169.62,6.3
01/06/2020 13:25,544.97,283.14,99.33,169.62,6.31
01/06/2020 13:30,540.69,281.58,98.33,169.62,6.26
01/06/2020 13:35,556.58,282.97,99.43,169.62,6.37
01/06/2020 13:40,559.1,281.87,95.62,168.19,6.37
01/06/2020 13:45,564.28,281.87,97.11,169.33,6.43
01/06/2020 13:50,572.49,281.87,97.19,169.33,6.51
01/06/2020 13:55,582.41,283.35,95.26,169.33,6.5600000000000005
01/06/2020 14:00,580.18,284.42,96.31,169.33,6.57
01/06/2020 14:05,585.42,284.42,94.94,169.29,6.62
01/06/2020 14:10,572.95,285.77,94.16,168.28,6.59
01/06/2020 14:15,578.36,285.77,94.23,171.39,6.65
01/06/2020 14:20,576.93,286.79,96.27,172.61,6.6
01/06/2020 14:25,574.91,287.8,95.42,172.61,6.63
01/06/2020 14:30,581.13,287.8,95.42,172.61,6.68
01/06/2020 14:35,568.3,288.8,96.31,172.61,6.61
01/06/2020 14:40,577.28,289.81,96.31,172.61,6.7
01/06/2020 14:45,580.69,290.81,97.1,172.61,6.8
01/06/2020 14:50,568.47,290.81,94.98,172.61,6.71
01/06/2020 14:55,579.42,291.82,96.29,172.61,6.74
01/06/2020 15:00,578.14,292.84,98.17,172.61,6.8
01/06/2020 15:05,579.44,292.84,96.99,172.61,6.84
01/06/2020 15:10,588.35,292.84,95.63,172.17,6.86
01/06/2020 15:15,586.33,294.12,94.64,172.17,6.86
01/06/2020 15:20,572.21,294.12,94.5,172.17,6.74
01/06/2020 15:25,578.38,294.12,94.5,172.17,6.79
01/06/2020 15:30,584.14,293.12,94.68,172.17,6.82
01/06/2020 15:35,588.19,293.12,94.68,172.17,6.87
01/06/2020 15:40,577.42,293.12,89.3,172.17,6.77
01/06/2020 15:45,588.97,293.12,93.65,172.17,6.87
01/06/2020 15:50,570.23,293.12,97.16,172.17,6.76
01/06/2020 15:55,581.79,293.12,99.28,174.09,6.87
01/06/2020 16:00,587.77,293.12,98.2,174.8,6.94
01/06/2020 16:05,579.07,293.12,98.1,172.46,6.9
01/06/2020 16:10,583.98,293.12,98.1,172.61,6.92
01/06/2020 16:15,594.18,292.1,98.1,172.61,6.96
01/06/2020 16:20,599.33,290.71,98.1,172.61,7.0
01/06/2020 16:25,597.16,289.69,98.1,172.61,6.97
01/06/2020 16:30,585.02,288.68,98.1,173.61,6.85
01/06/2020 16:35,593.73,286.59,98.16,172.48,6.91
01/06/2020 16:40,604.07,281.2,98.16,173.64,7.06
01/06/2020 16:45,607.33,276.3,99.3,172.49,6.86
01/06/2020 16:50,586.44,271.6,97.95,173.55,6.69
01/06/2020 16:55,566.8,265.87,97.93,173.55,6.53
01/06/2020 17:00,557.05,255.97,99.43,172.42,6.41
01/06/2020 17:05,557.07,240.39,97.97,172.42,6.32
01/06/2020 17:10,550.13,226.05,97.83,172.04,6.15
01/06/2020 17:15,556.06,201.89,98.51,173.04,6.04
01/06/2020 17:20,564.72,176.16,98.19,173.04,5.93
01/06/2020 17:25,569.57,156.23,97.58,173.04,5.82
