-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/1993 through 07/12/2020 ,,,,,,,,,,,
Location: Latitude  -34.59   Longitude -58.42 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 13.03 meters   Site = na ,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,
PS MERRA2 1/2x1/2 Surface Pressure (kPa) ,,,,,,,,,,,
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOT,PS,WS10M,CLRSKY_SFC_SW_DWN
-34.58999,-58.41999,1993,1,1,26.62,18.67,65.58,0.11,101.74,8.47,8.16
-34.58999,-58.41999,1993,1,2,28.16,18.58,66.69,0.02,101.31,4.84,8.96
-34.58999,-58.41999,1993,1,3,29.13,19.2,65.86,0,101.05,4.07,8.19
-34.58999,-58.41999,1993,1,4,31.36,20.48,62.28,0.24,100.67,3,8.38
-34.58999,-58.41999,1993,1,5,32.65,20.87,60.31,1.66,100.48,2.98,8.42
-34.58999,-58.41999,1993,1,6,33.98,21.3,63.51,9.46,100.56,3.94,8.71
-34.58999,-58.41999,1993,1,7,27.2,20.87,81.66,10.4,100.37,2.7,8.28
-34.58999,-58.41999,1993,1,8,28.72,18.87,64.03,1.3,100.36,4.59,8.01
-34.58999,-58.41999,1993,1,9,27.6,17.34,52.76,0,100.95,2.96,8.13
-34.58999,-58.41999,1993,1,10,31.13,17.91,54.36,0,100.58,6.25,9.06
-34.58999,-58.41999,1993,1,11,33.6,20.4,54.68,0.13,100.3,6.25,8.41
-34.58999,-58.41999,1993,1,12,33.68,21.21,58.06,2.05,100.73,3.04,7.61
-34.58999,-58.41999,1993,1,13,34.13,21.99,58.43,1.24,101.04,3.02,7.55
-34.58999,-58.41999,1993,1,14,34.95,22.82,63.33,6.67,100.95,3.13,8
-34.58999,-58.41999,1993,1,15,28.45,21.48,79.43,9.66,100.85,3.55,8.42
-34.58999,-58.41999,1993,1,16,25.5,14.77,84.82,2.79,100.5,5.42,8.39
-34.58999,-58.41999,1993,1,17,25.29,13.68,55.33,0.07,101.19,6.67,8.53
-34.58999,-58.41999,1993,1,18,25.25,16.79,57.53,0.31,101.33,3.38,8.82
-34.58999,-58.41999,1993,1,19,29.8,17.13,60.57,0.78,100.86,5.34,8.75
